TIME;RACE TIME;MESSAGE;
17:24:24.864;1:24:53.600;;CAR 992 - 10SEC TIME PENALTY SPEEDING PITLANE;
17:24:55.350;1:25:24.086;;CAR 91 - DRIVE THROUGH PENALTY SPEEDING PITLANE;
17:24:59.786;1:25:28.522;;CAR 914 BLUE FLAG;
17:25:02.460;1:25:31.196;;CAR 111 BLUE FLAG;
17:25:07.303;1:25:36.039;;CAR 992 BLUE FLAG;
17:25:07.591;1:25:36.327;;CAR12 - 10SEC TIME PENALTY SPEEDING PITLANE;
17:25:21.020;1:25:49.756;;CAR 60 - 10SEC TIME PENALTY SPEEDING PITLANE;
17:25:39.308;1:26:08.044;;CAR 914 BLUE FLAG;
17:26:19.618;1:26:48.354;;CAR 992 BLUE FLAG;
17:26:53.313;1:27:22.049;;CAR 177 BLUE FLAG;
17:26:54.977;1:27:23.713;;CAR 914 BLUE FLAG;
17:28:04.941;1:28:33.677;;CAR 177 BLUE FLAG;
17:28:08.095;1:28:36.831;;CAR 914 BLUE FLAG;
17:28:38.401;1:29:07.137;;CAR 177 IGNORING BLUE FLAG UNDER INVESTIGATION;
17:29:20.236;1:29:48.972;;INCIDENT CARS 177-24 T6 NOTED;
17:29:20.497;1:29:49.233;;CAR 992 BLUE FLAG;
17:31:22.620;1:31:51.356;;INCIDENT CARS 177-24 T6 NO FURTHER INVESTIGATION;
17:31:45.547;1:32:14.283;;CAR 992 BLUE FLAG;
17:32:16.439;1:32:45.175;;CAR 111 BLUE FLAG;
17:32:53.681;1:33:22.417;;CAR 111 BLUE FLAG;
17:33:15.087;1:33:43.823;;CAR 177 - 30SEC TIME PENALTY IGNORING BLUE FLAG;
17:33:28.243;1:33:56.979;;CAR 111 BLUE FLAG;
17:33:33.276;1:34:02.012;;CAR 992 BLUE FLAG;
17:34:11.228;1:34:39.964;;CAR 992 BLUE FLAG;
17:34:42.012;1:35:10.748;;FULL COURSE YELLOW IN 20s;
17:34:52.012;1:35:20.748;;FULL COURSE YELLOW IN 10s;
17:35:02.012;1:35:30.748;;Full course yellow deployed;
17:35:13.355;1:35:42.091;;CAR 914 GRAVEL BED T6;
17:42:32.541;1:43:01.277;;CAR 5 BLACK/ORANGE DISC FLAG;
17:44:40.012;1:45:08.748;;End of minimum FCY duration;
17:45:27.640;1:45:56.376;;Safety car deployed;
17:45:44.551;1:46:13.287;;PIT EXIT IS CLOSED;
17:49:01.822;1:49:30.558;;PIT EXIT IS CLOSED;
17:50:23.177;1:50:51.913;;Safety Car in this Lap;
17:52:01.078;1:52:29.814;;Green flag;
17:54:25.406;1:54:54.142;;Yellow flag at MSector 3;
17:54:34.508;1:55:03.244;;CAR 111 BLUE FLAG;
17:54:36.820;1:55:05.556;;Green flag at MSector 3;
17:54:48.451;1:55:17.187;;CAR 11 BLUE FLAG;
17:54:51.043;1:55:19.779;;CAR 177 BLUE FLAG;
17:55:11.925;1:55:40.661;;CAR 111 BLUE FLAG;
17:55:31.176;1:55:59.912;;INCIDENT CARS 555-97 T2 NOTED;
17:55:49.736;1:56:18.472;;CAR 111 BLUE FLAG;
17:56:03.296;1:56:32.032;;CAR 11 BLUE FLAG;
17:56:24.233;1:56:52.969;;CAR 111 BLUE FLAG;
17:56:33.735;1:57:02.471;;INCIDENT CARS 555-97 T2 UNDER INVESTIGATION;
17:56:38.671;1:57:07.407;;CAR 11 BLUE FLAG;
17:57:01.275;1:57:30.011;;CAR 111 BLUE FLAG;
17:57:17.273;1:57:46.009;;CAR 11 BLUE FLAG;
17:57:21.808;1:57:50.544;;CAR 177 BLUE FLAG;
17:57:31.343;1:58:00.079;;Yellow flag at MSector 13;
17:58:00.805;1:58:29.541;;FULL COURSE YELLOW IN 20s;
17:58:04.654;1:58:33.390;;Full Course Yellow Flag procedure cancelled;
17:58:28.606;1:58:57.342;;Green flag at MSector 13;
17:59:05.651;1:59:34.387;;CAR 111 IGNORING BLUE FLAGS UNDER INVESTIGATION;
18:00:01.094;2:00:29.830;;Yellow flag at MSector 3;
18:00:16.983;2:00:45.719;;Green flag at MSector 3;
18:00:38.850;2:01:07.586;;INCIDENT CARS 84-56 T1 NOTED;
18:03:03.544;2:03:32.280;;INCIDENT CARS 6-89 T10 OVERTAKING UNDER FCY NOTED;
18:03:13.482;2:03:42.218;;CAR 111 BLUE FLAG;
18:03:36.473;2:04:05.209;;INCIDENT CARS 6-88 T2 OVERTAKING UNDER FCY NOTED;
18:04:36.041;2:05:04.777;;CAR 12 BLUE FLAG;
18:05:29.987;2:05:58.723;;Yellow flag at MSector 13;
18:05:33.401;2:06:02.137;;Green flag at MSector 13;
18:06:54.534;2:07:23.270;;CAR 12 PITLANE SPEED UNDER INVESTIGATION;
18:08:23.488;2:08:52.224;;CAR 21 BLUE FLAG;
18:08:24.214;2:08:52.950;;CAR 97 - DRIVE THOUGH PENALTY CAUSING COLLISION;
18:08:52.457;2:09:21.193;;CAR 84 BLUE FLAG;
18:08:58.096;2:09:26.832;;CAR 21 BLUE FLAG;
18:09:39.859;2:10:08.595;;CAR 96 NO GPS NOTED;
18:10:24.916;2:10:53.652;;CAR 914 BLUE FLAG;
18:11:18.890;2:11:47.626;;CAR 84 BLUE FLAG;
18:11:22.642;2:11:51.378;;CAR 21 BLUE FLAG;
18:11:39.889;2:12:08.625;;CAR 914 BLACK / WHITE FLAG TRACK LIMITS;
18:11:50.766;2:12:19.502;;CAR 914 BLUE FLAG;
18:11:55.782;2:12:24.518;;CAR 50 BLUE FLAG;
18:11:59.501;2:12:28.237;;CAR 21 BLUE FLAG;
18:12:30.191;2:12:58.927;;ALL FCY SPEED WILL BE INVESTIGATE AFTER THE RACE;
18:12:30.192;2:12:58.928;;ALL FCY SPEED WILL BE INVESTIGATED AFTER THE RACE;
18:12:34.211;2:13:02.947;;CAR 21 BLUE FLAG;
18:12:39.042;2:13:07.778;;CAR 24 BLUE FLAG;
18:13:11.321;2:13:40.057;;CAR 21 BLUE FLAG;
18:13:43.012;2:14:11.748;;CAR 34 BLUE FLAG;
18:14:14.340;2:14:43.076;;INCIDENT CARS 6-88 OVERTAKING UNDER FCY - NO FURTHER INVESTIGATION;
18:14:17.767;2:14:46.503;;CAR 34 BLUE FLAG;
18:14:26.623;2:14:55.359;;CAR 992 BLUE FLAG;
18:15:02.083;2:15:30.819;;INCIDENT CARS 84-56 T2 NO FURTHER INVESTIGATION;
18:15:02.084;2:15:30.820;;INCIDENT CARS 84-56 T2 WILL BE INVESTIGATED AFTER THE RACE;
18:15:03.389;2:15:32.125;;CAR 992 BLUE FLAG;
18:15:40.294;2:16:09.030;;CAR 992 BLUE FLAG;
18:16:05.037;2:16:33.773;;CAR 991 BLUE FLAG;
18:16:16.059;2:16:44.795;;CAR 914 BLUE FLAG;
18:16:41.521;2:17:10.257;;CAR 991 BLUE FLAG;
18:17:18.452;2:17:47.188;;CAR 88 BLUE FLAG;
18:17:22.114;2:17:50.850;;CAR 84 BLUE FLAG;
18:17:28.786;2:17:57.522;;CAR 24 BLUE FLAG;
18:17:52.746;2:18:21.482;;CAR 71 BLUE FLAG;
18:17:57.306;2:18:26.042;;CAR 84 BLUE FLAG;
18:17:59.460;2:18:28.196;;CAR 12 - 5SEC TIME PENALTY SPEEDING PITLANE;
18:18:29.187;2:18:57.923;;CAR 71 BLUE FLAG;
18:18:33.104;2:19:01.840;;CAR 88 BLUE FLAG;
18:18:34.075;2:19:02.811;;CAR 84 BLUE FLAG;
18:18:38.117;2:19:06.853;;CAR 992 IGNORING BLUE FLAG UNDER INVESTIGATION;
18:19:10.890;2:19:39.626;;CAR 88 BLUE FLAG;
18:19:45.317;2:20:14.053;;CAR 88 BLUE FLAG;
18:20:21.906;2:20:50.642;;CAR 88 BLUE FLAG;
18:20:58.835;2:21:27.571;;CAR 88 BLUE FLAG;
18:21:08.338;2:21:37.074;;CAR 88 IGNORING BLUE FLAG UNDER INVESTIGATION;
18:22:45.306;2:23:14.042;;CAR 58 BLUE FLAG;
18:22:51.351;2:23:20.087;;CAR 44 BLUE FLAG;
18:23:13.627;2:23:42.363;;CAR 6 BLUE FLAG;
18:23:19.557;2:23:48.293;;CAR 58 BLUE FLAG;
18:23:25.578;2:23:54.314;;CAR 44 BLUE FLAG;
18:24:33.790;2:25:02.526;;CAR 58 BLUE FLAG;
18:25:00.884;2:25:29.620;;CAR 93 BLUE FLAG;
18:25:08.035;2:25:36.771;;CAR 58 BLUE FLAG;
18:25:37.325;2:26:06.061;;CAR 30 BLUE FLAG;
18:25:43.169;2:26:11.905;;CAR 998 BLUE FLAG;
18:26:19.855;2:26:48.591;;CAR 998 BLUE FLAG;
18:27:30.774;2:27:59.510;;CAR 34 BLUE FLAG;
18:28:01.018;2:28:29.754;;CAR 35 BLUE FLAG;
18:28:07.637;2:28:36.373;;CAR 34 BLUE FLAG;
18:28:08.678;2:28:37.414;;CAR 998 BLUE FLAG;
18:28:38.949;2:29:07.685;;CAR 177 BLUE FLAG;
18:29:11.356;2:29:40.092;;CAR 42 BLUE FLAG;
18:29:47.882;2:30:16.618;;CAR 42 BLUE FLAG;
18:30:26.535;2:30:55.271;;CAR 12 BLUE FLAG;
18:30:29.153;2:30:57.889;;CAR 992 BLACK / WHITE FLAG TRACK LIMITS;
18:30:30.486;2:30:59.222;;CAR 34 BLUE FLAG;
18:31:00.948;2:31:29.684;;CAR 12 BLUE FLAG;
18:31:07.123;2:31:35.859;;CAR 34 BLUE FLAG;
18:31:43.847;2:32:12.583;;CAR 34 BLUE FLAG;
18:31:58.599;2:32:27.335;;CAR 914 BLUE FLAG;
18:32:22.397;2:32:51.133;;CAR 21 BLUE FLAG;
