Nr;Driver in;Day time in;Time in;Driver out;Day time out;Time out;Nett Time;Reason;Lap In
66;Ariel Levi;16:52:29.325;52:58.061;Sebastian Øgaard;16:53:50.140;54:18.876;1:20.815;;24
222;Reece Barr;16:52:30.310;52:59.046;Charles Dawson;16:53:53.186;54:21.922;1:22.876;;24
9;Max Hofer;16:52:32.592;53:01.328;Max Hofer;16:53:55.380;54:24.116;1:22.788;;24
91;Ralf Bohn;16:52:43.391;53:12.127;Ralf Bohn;16:54:05.543;54:34.279;1:22.152;;24
50;Sean Gelael;16:53:09.830;53:38.566;Sean Gelael;16:53:45.061;54:13.797;35.231;;24
96;Luca Engstler;16:53:13.059;53:41.795;Marco Mapelli;16:54:39.591;55:08.327;1:26.532;;24
56; ;16:53:31.000;53:59.736; ;16:58:51.699;59:20.435;;;24
63;Franck Perera;16:53:33.158;54:01.894;Franck Perera;16:54:37.322;55:06.058;1:04.164;;24
6;Aurelien Panis;16:53:40.693;54:09.429;Anthony Bartone;16:55:02.763;55:31.499;1:22.070;;24
71;Simon Birch;16:53:41.525;54:10.261;Malte Ebdrup;16:55:03.473;55:32.209;1:21.948;;24
12;Tom Kalender;16:53:52.262;54:20.998;Gabriel Rindone;16:55:22.574;55:51.310;1:30.312;;24
88;Gerhard Tweraser;16:53:57.927;54:26.663;Carrie Schreiner;16:55:28.965;55:57.701;1:31.038;;24
992;Bobby Thompson;16:54:20.153;54:48.889;Bobby Thompson;16:55:01.540;55:30.276;41.387;;24
111;James Kell;16:54:39.156;55:07.892;Simon Gachet;16:56:01.716;56:30.452;1:22.560;;23
48;Maro Engel;16:55:57.057;56:25.793;Luca Stolz;16:57:18.382;57:47.118;1:21.325;;25
17;Maxime Martin;16:56:03.226;56:31.962; ;;;;;23
2;Alessio Picariello;16:56:04.606;56:33.342;Dorian Boccolacci;16:57:25.846;57:54.582;1:21.240;;25
32;Charles Weerts;16:56:48.145;57:16.881;Jordan Pepper;16:58:08.800;58:37.536;1:20.655;;25
42;Calan Williams;16:56:55.182;57:23.918;Ahmad Al Harthy;16:58:16.341;58:45.077;1:21.159;;25
35;Ethan Ischer;16:57:24.198;57:52.934;Gaspard Simon;16:58:53.319;59:22.055;1:29.121;;25
30;Matisse Lismont;16:57:24.601;57:53.337;Amaury Cordeel;16:58:45.687;59:14.423;1:21.086;;25
60;Rolf Ineichen;16:57:25.307;57:54.043;Thomas Kiefer;16:58:48.593;59:17.329;1:23.286;;25
74;Dustin Blattner;16:58:16.999;58:45.735;Lorenzo Patrese;16:59:39.041;1:00:07.777;1:22.042;;25
96;Marco Mapelli;16:58:43.098;59:11.834;Marco Mapelli;16:59:18.716;59:47.452;35.618;;25
71;Malte Ebdrup;16:59:06.678;59:35.414;Malte Ebdrup;16:59:41.810;1:00:10.546;35.132;;25
97;Antares Au;16:59:28.220;59:56.956;Riccardo Pera;17:00:50.579;1:01:19.315;1:22.359;;25
991;James Kellett;17:01:12.486;1:01:41.222;Darren Leung;17:02:33.971;1:03:02.707;1:21.485;;26
45;Dylan Medler;17:01:55.602;1:02:24.338;David Perel;17:03:17.878;1:03:46.614;1:22.276;;26
32;Jordan Pepper;17:02:11.024;1:02:39.760;Jordan Pepper;17:02:46.439;1:03:15.175;35.415;;26
89;Bashar Mardini;17:02:27.852;1:02:56.588;Patrick Kolb;17:03:50.302;1:04:19.038;1:22.450;;26
30;Amaury Cordeel;17:02:49.455;1:03:18.191;Amaury Cordeel;17:03:26.182;1:03:54.918;36.727;;26
35;Gaspard Simon;17:02:56.832;1:03:25.568;Gaspard Simon;17:03:41.615;1:04:10.351;44.783;;26
6;Anthony Bartone;17:03:27.901;1:03:56.637;Anthony Bartone;17:04:03.173;1:04:31.909;35.272;;26
93;Jonathan Hui;17:03:37.443;1:04:06.179;Jonathan Hui;17:04:59.945;1:05:28.681;1:22.502;;26
12;Gabriel Rindone;17:03:48.927;1:04:17.663;Gabriel Rindone;17:04:24.658;1:04:53.394;35.731;;26
54;Angus Whiteside;17:05:30.722;1:05:59.458;Tanart Sathienthirakul;17:06:52.521;1:07:21.257;1:21.799;;27
24;Mikkel Mac;17:05:32.600;1:06:01.336;Antoine Doquin;17:06:56.257;1:07:24.993;1:23.657;;27
21;Oliver Söderström;17:05:35.424;1:06:04.160;Sebastien Baud;17:06:57.212;1:07:25.948;1:21.788;;27
3;Chris Lulham;17:05:38.175;1:06:06.911;Chris Lulham;17:06:58.853;1:07:27.589;1:20.678;;26
11;Aaron Muss;17:05:47.646;1:06:16.382;Aaron Muss;17:07:10.024;1:07:38.760;1:22.378;;26
111;Simon Gachet;17:06:10.418;1:06:39.154;Simon Gachet;17:06:47.972;1:07:16.708;37.554;;26
97;Riccardo Pera;17:06:24.107;1:06:52.843;Riccardo Pera;17:06:59.330;1:07:28.066;35.223;;27
34;Jamie Day;17:11:49.121;1:12:17.857;Christian Krognes;17:13:11.555;1:13:40.291;1:22.434;;30
98;Augusto Farfus;17:11:50.055;1:12:18.791;Jake Dennis;17:13:13.753;1:13:42.489;1:23.698;;30
84;Simon Reicher;17:11:53.002;1:12:21.738;Markus Winkelhock;17:13:14.884;1:13:43.620;1:21.882;;30
914;Georgios Kolovos;17:12:11.553;1:12:40.289;Stylianos Kolovos;17:13:38.627;1:14:07.363;1:27.074;;30
998;Ugo De Wilde;17:13:42.042;1:14:10.778;Ugo De Wilde;17:15:03.526;1:15:32.262;1:21.484;;31
58;Benjamin Goethe;17:13:46.353;1:14:15.089;Louis Prette;17:15:09.048;1:15:37.784;1:22.695;;31
5;Dante Rappange;17:13:48.442;1:14:17.178;Mikey Porter;17:15:10.419;1:15:39.155;1:21.977;;31
44;Joshua Rattican;17:13:49.120;1:14:17.856;Jayden Kelly;17:15:11.218;1:15:39.954;1:22.098;;31
50;Sean Gelael;17:21:36.617;1:22:05.353;Lilou Wadoux;17:22:58.126;1:23:26.862;1:21.509;;35
63;Franck Perera;17:21:50.614;1:22:19.350;Maximilian Paul;17:23:10.793;1:23:39.529;1:20.179;;35
992;Bobby Thompson;17:21:56.033;1:22:24.769;Christian Hahn;17:23:17.944;1:23:46.680;1:21.911;;35
91;Robert Renauer;17:27:21.361;1:27:50.097;Robert Renauer;17:27:51.719;1:28:20.455;30.358;Penalty;38
24;Antoine Doquin;17:33:00.562;1:33:29.298;Antoine Doquin;17:34:23.213;1:34:51.949;1:22.651;;41
63;Maximilian Paul;17:34:04.841;1:34:33.577; ;;;;;41
45;David Perel;17:37:29.574;1:37:58.310;David Perel;17:38:54.012;1:39:22.748;1:24.438;;43
32;Jordan Pepper;17:37:36.771;1:38:05.507;Jordan Pepper;17:38:11.836;1:38:40.572;35.065;;43
991;Darren Leung;17:38:15.029;1:38:43.765;Darren Leung;17:38:49.836;1:39:18.572;34.807;;43
42;Ahmad Al Harthy;17:38:17.109;1:38:45.845;Ahmad Al Harthy;17:38:54.876;1:39:23.612;37.767;;43
30;Amaury Cordeel;17:38:21.300;1:38:50.036;Amaury Cordeel;17:38:55.970;1:39:24.706;34.670;;43
96;Marco Mapelli;17:38:22.889;1:38:51.625;Marco Mapelli;17:39:02.733;1:39:31.469;39.844;;43
60;Thomas Kiefer;17:38:26.592;1:38:55.328;Thomas Kiefer;17:39:00.636;1:39:29.372;34.044;;43
6;Anthony Bartone;17:38:31.339;1:39:00.075;Anthony Bartone;17:39:06.669;1:39:35.405;35.330;;43
88;Carrie Schreiner;17:38:34.461;1:39:03.197;Carrie Schreiner;17:39:17.721;1:39:46.457;43.260;;43
93;Chris Froggatt;17:38:36.818;1:39:05.554;Chris Froggatt;17:39:22.363;1:39:51.099;45.545;;43
97;Riccardo Pera;17:38:37.774;1:39:06.510;Riccardo Pera;17:39:13.177;1:39:41.913;35.403;;43
177;Stephane Tribaudini;17:39:32.378;1:40:01.114;Colin Caresani;17:41:28.650;1:41:57.386;1:56.272;;42
11;Aaron Muss;17:40:07.602;1:40:36.338;Aaron Muss;17:40:45.369;1:41:14.105;37.767;;42
2;Dorian Boccolacci;17:41:29.846;1:41:58.582;Dorian Boccolacci;17:42:52.437;1:43:21.173;1:22.591;;44
914;Stylianos Kolovos;17:41:40.322;1:42:09.058;Stylianos Kolovos;17:53:09.740;1:53:38.476;11:29.418;;41
23;Horatio Fitz-Simon;17:41:41.891;1:42:10.627;Ben Dörr;17:43:04.411;1:43:33.147;1:22.520;;44
25;Etienne Cheli;17:41:42.512;1:42:11.248;Ezequiel Perez Companc;17:43:08.380;1:43:37.116;1:25.868;;44
87;Gabriele Piana;17:41:44.185;1:42:12.921;Marvin Dienst;17:43:05.852;1:43:34.588;1:21.667;;44
66;Sebastian Øgaard;17:41:45.040;1:42:13.776;Rocco Mazzola;17:43:06.772;1:43:35.508;1:21.732;;44
555;Baptiste Moulin;17:42:01.374;1:42:30.110;Lorens Lecertua;17:43:25.918;1:43:54.654;1:24.544;;44
9;Max Hofer;17:42:14.580;1:42:43.316;Aleksei Nesov;17:43:36.469;1:44:05.205;1:21.889;;44
222;Charles Dawson;17:42:35.361;1:43:04.097;Kiern Jewiss;17:43:58.305;1:44:27.041;1:22.944;;44
56;Jonathan Adam;17:42:37.165;1:43:05.901;Lorcan Hanafin;17:43:59.204;1:44:27.940;1:22.039;;44
71;Malte Ebdrup;17:42:44.737;1:43:13.473;Frederik Schandorff;17:44:05.743;1:44:34.479;1:21.006;;44
74;Lorenzo Patrese;17:42:50.028;1:43:18.764;Lorenzo Patrese;17:43:24.088;1:43:52.824;34.060;;44
89;Patrick Kolb;17:42:50.901;1:43:19.637;Patrick Kolb;17:43:38.434;1:44:07.170;47.533;;44
91;Robert Renauer;17:43:50.741;1:44:19.477;Huub van Eijndhoven;17:45:12.644;1:45:41.380;1:21.903;;44
5;Mikey Porter;17:45:37.202;1:46:05.938; ;;;;;44
48;Luca Stolz;17:45:47.084;1:46:15.820;Lucas Auer;17:47:08.103;1:47:36.839;1:21.019;;45
98;Jake Dennis;17:49:32.696;1:50:01.432;Raffaele Marciello;17:50:54.329;1:51:23.065;1:21.633;;46
11;Aaron Muss;17:58:37.527;1:59:06.263;Aaron Muss;18:00:24.155;2:00:52.891;1:46.628;;49
35;Gaspard Simon;18:01:12.901;2:01:41.637;Mateo Villagomez;18:02:34.297;2:03:03.033;1:21.396;;52
12;Gabriel Rindone;18:01:47.279;2:02:16.015;Mikael Grenier;18:03:21.814;2:03:50.550;1:34.535;;52
54;Tanart Sathienthirakul;18:03:05.966;2:03:34.702;Francesco Simonazzi;18:04:27.090;2:04:55.826;1:21.124;;53
111;Simon Gachet;18:03:06.976;2:03:35.712;Arthur Rougier;18:04:28.788;2:04:57.524;1:21.812;;52
21;Sebastien Baud;18:04:56.142;2:05:24.878;Kobe Pauwels;18:06:33.989;2:07:02.725;1:37.847;;54
96;Marco Mapelli;18:06:49.468;2:07:18.204;Patric Niederhauser;18:08:10.660;2:08:39.396;1:21.192;;55
6;Anthony Bartone;18:06:50.849;2:07:19.585;Cesar Gazeau;18:08:13.087;2:08:41.823;1:22.238;;55
88;Carrie Schreiner;18:06:54.472;2:07:23.208;Daniele Di Amato;18:08:13.580;2:08:42.316;1:19.108;;55
84;Markus Winkelhock;18:06:55.575;2:07:24.311;Christopher Haase;18:08:17.512;2:08:46.248;1:21.937;;55
58;Louis Prette;18:06:58.258;2:07:26.994;Thomas Fleming;18:08:19.861;2:08:48.597;1:21.603;;55
93;Chris Froggatt;18:08:41.019;2:09:09.755;Eddie Cheever;18:10:02.624;2:10:31.360;1:21.605;;56
50;Lilou Wadoux;18:08:44.879;2:09:13.615;Arthur Leclerc;18:10:05.911;2:10:34.647;1:21.032;;56
992;Christian Hahn;18:08:45.906;2:09:14.642;Josh Rowledge;18:10:13.601;2:10:42.337;1:27.695;;56
24;Antoine Doquin;18:08:48.168;2:09:16.904;Dennis Lind;18:10:16.205;2:10:44.941;1:28.037;;56
32;Jordan Pepper;18:10:06.155;2:10:34.891;Kelvin van der Linde;18:11:27.208;2:11:55.944;1:21.053;;57
2;Dorian Boccolacci;18:10:07.573;2:10:36.309;Morris Schuring;18:11:28.535;2:11:57.271;1:20.962;;57
45;David Perel;18:10:15.809;2:10:44.545;Rafael Duran;18:11:37.715;2:12:06.451;1:21.906;;57
42;Ahmad Al Harthy;18:10:21.564;2:10:50.300;Javier Sagrera;18:11:44.053;2:12:12.789;1:22.489;;57
30;Amaury Cordeel;18:10:23.299;2:10:52.035;Ignacio Montenegro;18:11:45.088;2:12:13.824;1:21.789;;57
60;Thomas Kiefer;18:10:24.035;2:10:52.771;Tim Heinemann;18:12:07.681;2:12:36.417;1:43.646;;57
97;Riccardo Pera;18:10:29.972;2:10:58.708;Sven Müller;18:11:53.627;2:12:22.363;1:23.655;;57
34;Christian Krognes;18:10:32.892;2:11:01.628;Henrique Chaves;18:11:54.164;2:12:22.900;1:21.272;;57
11;Aaron Muss;18:11:30.947;2:11:59.683;Kyle Marcelli;18:12:54.267;2:13:23.003;1:23.320;;55
914;Stylianos Kolovos;18:11:43.915;2:12:12.651;Lenny Ried;18:13:10.950;2:13:39.686;1:27.035;;51
74;Lorenzo Patrese;18:12:02.142;2:12:30.878;Dennis Marschall;18:13:30.443;2:13:59.179;1:28.301;;58
991;Darren Leung;18:12:20.040;2:12:48.776;Robert De Haan;18:13:41.638;2:14:10.374;1:21.598;;58
998;Tim Tramnitz;18:12:20.947;2:12:49.683;Jens Klingmann;18:13:42.591;2:14:11.327;1:21.644;;58
44;Jayden Kelly;18:12:22.017;2:12:50.753;Tomas Pintos;18:13:47.198;2:14:15.934;1:25.181;;58
97;Sven Müller;18:13:42.280;2:14:11.016;Sven Müller;18:14:12.930;2:14:41.666;30.650;Penalty;58
71;Frederik Schandorff;18:14:08.365;2:14:37.101;Frederik Schandorff;18:15:29.039;2:15:57.775;1:20.674;;59
89;Patrick Kolb;18:15:59.723;2:16:28.459;Alex Fontana;18:17:23.954;2:17:52.690;1:24.231;;60
4;Harry George;18:20:19.918;2:20:48.654; ;;;;;5
